Source Tissue Type,Target Destination Type,Source Order,Destination Order,Euclidean Distance,Distance Index
TE,TE,8,11,68.33428473,0.572090843
TE,TE,8,12,91.93348178,0.424312717
TE,TE,8,13,122.9036576,0.230377537
TE,TE,8,14,94.98173854,0.405224539
TE,TE,8,15,136.1933437,0.147157549
TE,TE,8,16,36.97679603,0.768451376
TE,TE,8,17,101.761329,0.362770757
TE,TE,8,18,48.64571435,0.695380632
TE,TE,8,19,123.6602072,0.225640025
TE,TE,8,20,144.4505756,0.095450779
TE,TE,8,21,137.4852284,0.13906777
TE,TE,8,22,80.27322156,0.497329244
TE,TE,8,23,151.2589404,0.052816812
TE,ICM,8,24,69.88547087,0.562377318
TE,TE,8,25,86.04565335,0.461182287
TE,ICM,8,26,123.6113574,0.225945922
TE,TE,8,27,108.187086,0.32253268
TE,TE,8,28,131.710932,0.175226402
TE,ICM,8,29,119.4742837,0.25185227
TE,ICM,8,30,104.6281858,0.344818505
TE,TE,8,31,77.4327067,0.515116542
TE,TE,8,32,101.2577973,0.365923872
TE,TE,8,33,119.8268964,0.24964421
TE,ICM,8,34,119.7867984,0.249895303
TE,ICM,8,35,125.0910824,0.216679887
TE,TE,8,36,159.6934387,0
TE,TE,8,37,114.7448938,0.2814677
TE,TE,8,38,149.2361243,0.065483682
TE,TE,8,39,128.3817825,0.19607353
TE,ICM,8,40,81.00690233,0.492734936
TE,TE,8,41,152.858141,0.042802621
TE,TE,8,42,105.8637758,0.337081243
TE,ICM,8,43,138.7259681,0.13129826
TE,ICM,8,44,98.04111526,0.386066728
TE,TE,8,45,140.9450341,0.117402473
TE,ICM,8,46,149.6544907,0.062863872
TE,ICM,8,47,119.0181578,0.254708529
TE,ICM,8,48,116.0513583,0.273286622
TE,TE,8,49,109.6519787,0.313359524
TE,ICM,8,50,103.8992203,0.349383286
TE,ICM,8,51,85.66498109,0.463566056
TE,TE,8,52,142.9226108,0.105018891
TE,TE,8,53,146.8024011,0.080723652
TE,ICM,8,54,99.08339672,0.379539964
TE,TE,8,55,123.9670626,0.223718497
TE,TE,8,56,57.70796998,0.638632805
TE,ICM,8,57,119.2993463,0.252947727
TE,TE,8,58,119.2008566,0.25356447
TE,ICM,8,59,86.77907339,0.456589613
TE,ICM,8,60,138.3838314,0.133440719
TE,ICM,8,61,140.3450851,0.121159352
TE,ICM,8,62,114.4914542,0.283054738
TE,TE,8,63,152.7458016,0.04350609
TE,TE,9,0,113.3165648,0.290411893
TE,TE,9,1,47.99316903,0.69946687
TE,TE,9,2,98.86946884,0.38087958
TE,TE,9,3,135.3141434,0.152663099
TE,TE,9,4,84.53452313,0.470644982
TE,TE,9,5,62.56005709,0.608249045
